User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Steps_Count,Sleep_Duration,Water_Intake,Exercise_Type
U00001,Female,48,181,63,100,114,37.5,5011,6.7,3.7,Gym
U00002,Female,41,192,106,72,152,38.4,5847,5.5,3.4,Walking
U00003,Male,21,195,80,83,169,38.3,1149,5.6,1.7,Cycling
U00004,Female,31,197,93,15,126,37.4,16998,5.1,1.3,Running
U00005,Male,58,194,53,96,88,36.7,10439,9.5,3.6,Running
U00006,Male,53,162,89,85,148,38,2115,7.6,3.8,Running
U00007,Female,26,163,82,83,123,38.3,12355,6.6,1.7,Walking
U00008,Female,22,181,55,81,134,37.6,8915,5.8,3.3,Cycling
U00009,Female,34,169,86,117,125,36,1108,6.3,3.6,Running
U00010,Female,33,164,110,39,84,37.2,11994,5.5,4,Gym
U00011,Female,58,181,101,112,100,36.4,3643,8.6,2.4,Walking
U00012,Female,26,159,103,10,91,37.9,5989,9.9,2.9,Cycling
U00013,Male,55,164,89,83,100,36,8830,6.7,1.2,Walking
U00014,Female,40,158,88,53,103,37.3,2863,9.7,2.1,Running
U00015,Male,50,159,63,109,146,37.6,14006,9.1,2.4,Walking
U00016,Male,48,199,119,86,134,36.3,7571,4.7,1.7,Running
U00017,Male,34,193,68,92,144,38.6,14036,7.7,2.1,Gym
U00018,Female,57,198,74,107,146,38.3,13290,5.7,3.9,Walking
U00019,Female,60,194,78,89,68,36.7,9130,8.7,3.4,Gym
U00020,Female,42,195,113,20,113,38.2,3628,4.2,3.3,Gym
U00021,Female,45,166,58,12,151,38.2,1820,8.4,1.7,Walking
U00022,Female,45,199,68,20,83,38.7,11368,5.7,3.6,Running
U00023,Female,24,197,57,107,168,36.5,14997,6.7,1.4,Walking
U00024,Male,30,182,53,60,137,37.6,12584,6.3,3.9,Gym
U00025,Male,60,150,115,25,69,36.4,6736,6.8,1.2,Gym
U00026,Female,55,165,69,109,65,36,9336,4.4,1.9,Swimming
U00027,Female,19,176,72,46,87,38.7,7525,5.1,1.6,Cycling
U00028,Female,37,161,103,51,135,36,14985,9.8,1.8,Walking
U00029,Male,43,156,89,37,177,38.3,11647,5.4,3.5,Cycling
U00030,Male,28,168,110,55,136,38,18170,7.4,1.5,Walking
U00031,Female,38,181,69,77,174,38.6,11789,5.8,1.2,Walking
U00032,Female,31,199,110,102,144,37.1,3544,8.8,2.6,Walking
U00033,Male,22,163,52,20,95,38.9,13581,7.5,3.4,Cycling
U00034,Male,39,199,81,91,158,36.2,3453,4.9,2.2,Running
U00035,Female,54,193,117,38,114,38.6,17936,9.8,3.7,Walking
U00036,Male,29,178,53,45,166,38.9,10939,9,1.6,Walking
U00037,Male,38,184,81,96,63,36.9,15556,6.7,3.4,Gym
U00038,Female,23,189,113,76,140,36.1,19744,9.6,1.4,Gym
U00039,Male,24,191,63,76,170,37.2,9571,7.1,2.7,Walking
